"LATITUDE","LONGITUDE","INTENS","SLOPE","ERROR","LOCATION","DATETIME","HOUR","MINUTE","SECOND","MINISECOND","PROVINCE","DISTRICT","COUNTRY","INPUTTIME","PROCESSFLAG","USEDIDS","CG_IC","HEIGHT"
"40.434","116.097","-11.702","-4.8","0.0","TwoMIX","2015/6/16 17:25:26","17","25","26","3770810","北京市","北京市县","延庆县","2015/6/16 17:25:01","1","0,4","IC","0.000"
"40.467","116.008","-13.382","-4.1","0.0","TwoMIX","2015/6/16 17:32:50","17","32","50","861629","北京市","北京市县","延庆县","2015/6/16 17:32:25","1","118,0","CG","0.000"
"40.489","116.013","-17.180","-6.1","178.1","FourOPT","2015/6/16 17:32:50","17","32","50","5188712","北京市","北京市县","延庆县","2015/6/16 17:32:25","1","118,2,1,4,0","IC","2.667"
"40.546","115.814","-35.721","-7.1","178.0","FourOPT","2015/6/16 17:55:45","17","55","45","7701158","北京市","北京市县","延庆县","2015/6/16 17:55:29","1","2,4,1,0,60","CG","0.000"
"40.516","116.162","35.813","5.8","139.8","FourOPT","2015/6/16 18:03:27","18","3","27","8311320","北京市","北京市县","延庆县","2015/6/16 18:03:03","1","118,1,4,2,0","IC","3.032"
"40.335","115.965","-12.273","-5.8","0.0","ThreeMIX","2015/6/16 18:18:10","18","18","10","3822361","北京市","北京市县","延庆县","2015/6/16 18:17:44","1","118,1,4","CG","0.000"
"40.465","116.142","80.175","9.0","101.3","FourOPT","2015/6/16 18:18:37","18","18","37","9007348","北京市","北京市县","延庆县","2015/6/16 18:18:13","1","1,2,4,60,117","CG","0.000"
"40.577","116.013","-11.280","-2.7","69.9","FourOPT","2015/6/16 19:00:34","19","0","34","8990909","北京市","北京市县","延庆县","2015/6/16 19:00:09","1","118,4,2,1,0","IC","1.829"
"40.590","116.023","-12.597","-3.2","119.0","FourOPT","2015/6/16 19:20:44","19","20","44","9622558","北京市","北京市县","延庆县","2015/6/16 19:20:19","1","118,4,2,1,60","IC","2.465"
"40.388","115.908","-11.201","-3.4","0.0","ThreeMIX","2015/6/16 17:25:33","17","25","33","7139226","北京市","北京市县","延庆县","2015/6/16 17:25:09","1","2,0,4","CG","0.000"
"40.440","116.608","45.182","8.5","101.3","FourOPT","2015/6/16 17:25:46","17","25","46","8734098","北京市","北京市县","怀柔区","2015/6/16 17:25:21","1","0,4,2,117,60","IC","3.914"
"40.405","115.854","-14.016","-6.9","101.4","FourOPT","2015/6/16 17:25:53","17","25","53","5537468","北京市","北京市县","延庆县","2015/6/16 17:25:28","1","118,2,0,4","CG","0.000"
"40.491","115.838","-26.381","-5.6","119.0","FourOPT","2015/6/16 17:25:56","17","25","56","7124457","北京市","北京市县","延庆县","2015/6/16 17:25:35","1","2,4,0,60,117","CG","0.000"
"40.489","115.837","-39.023","-10.4","69.9","FourOPT","2015/6/16 17:25:56","17","25","56","7777296","北京市","北京市县","延庆县","2015/6/16 17:25:36","1","2,4,0,60,117","CG","0.000"
"40.459","115.796","-12.682","-4.0","0.0","ThreeMIX","2015/6/16 17:33:26","17","33","26","626534","北京市","北京市县","延庆县","2015/6/16 17:33:02","1","2,4,1","CG","0.000"
"40.455","115.934","-13.880","-4.4","138.6","FourOPT","2015/6/16 17:33:30","17","33","30","6830464","北京市","北京市县","延庆县","2015/6/16 17:33:08","1","118,2,1,4,0","IC","1.886"
"40.458","115.947","-23.364","-7.0","101.3","FourOPT","2015/6/16 17:33:30","17","33","30","7532732","北京市","北京市县","延庆县","2015/6/16 17:33:08","1","2,4,1,0,60","IC","4.102"
"40.421","115.936","-14.403","-2.8","69.9","FourOPT","2015/6/16 17:41:47","17","41","47","7389187","北京市","北京市县","延庆县","2015/6/16 17:41:24","1","118,2,0,1,4","CG","0.000"
"40.388","115.904","-12.928","-5.0","69.9","FourOPT","2015/6/16 17:41:47","17","41","47","8294284","北京市","北京市县","延庆县","2015/6/16 17:41:24","1","118,2,1,4","CG","0.000"
"40.515","116.004","6.737","4.5","0.0","TwoMIX","2015/6/16 17:56:03","17","56","3","6586864","北京市","北京市县","延庆县","2015/6/16 17:55:44","1","118,0","IC","0.000"
"40.490","115.838","-36.934","-9.8","119.0","FourOPT","2015/6/16 17:25:56","17","25","56","8057806","北京市","北京市县","延庆县","2015/6/16 17:25:36","1","2,4,0,60,117","CG","0.000"
"40.490","115.838","-35.813","-9.6","69.9","FourOPT","2015/6/16 17:25:56","17","25","56","8380117","北京市","北京市县","延庆县","2015/6/16 17:25:37","1","2,4,0,60,117","CG","0.000"
"40.491","115.837","-24.512","-7.0","172.2","FourOPT","2015/6/16 17:25:56","17","25","56","8841372","北京市","北京市县","延庆县","2015/6/16 17:25:37","1","2,4,0,60,117","IC","5.416"
"40.489","115.835","-20.674","-7.0","69.9","FourOPT","2015/6/16 17:25:56","17","25","56","9044039","北京市","北京市县","延庆县","2015/6/16 17:25:38","1","2,4,0,60,117","IC","3.446"
"40.490","115.838","-23.863","-6.6","119.0","FourOPT","2015/6/16 17:25:56","17","25","56","9299490","北京市","北京市县","延庆县","2015/6/16 17:25:38","1","2,4,0,60,117","CG","0.000"
"40.490","115.837","-19.982","-6.1","69.9","FourOPT","2015/6/16 17:25:56","17","25","56","9825900","北京市","北京市县","延庆县","2015/6/16 17:25:38","1","2,4,0,60,117","CG","0.000"
"40.584","115.896","-13.053","-2.8","177.9","FourOPT","2015/6/16 17:26:02","17","26","2","6429571","北京市","北京市县","延庆县","2015/6/16 17:25:42","1","118,4,2,0","IC","2.501"
"40.387","115.903","-21.736","-6.0","101.4","FourOPT","2015/6/16 17:26:06","17","26","6","6919729","北京市","北京市县","延庆县","2015/6/16 17:25:47","1","118,2,0,4,60","CG","0.000"
"40.363","115.901","-35.131","-7.8","69.9","FourOPT","2015/6/16 17:26:06","17","26","6","7749230","北京市","北京市县","延庆县","2015/6/16 17:25:47","1","2,0,4,60,117","CG","0.000"
"40.372","115.896","-14.105","-5.5","101.4","FourOPT","2015/6/16 17:26:06","17","26","6","9510292","北京市","北京市县","延庆县","2015/6/16 17:25:48","1","118,2,0,4","CG","0.000"
"40.370","115.892","-11.160","-4.6","0.0","ThreeMIX","2015/6/16 17:26:07","17","26","7","999539","北京市","北京市县","延庆县","2015/6/16 17:25:48","1","118,2,0","CG","0.000"
"40.500","116.289","-14.329","-2.2","119.0","FourOPT","2015/6/16 17:26:20","17","26","20","3907341","北京市","北京市县","延庆县","2015/6/16 17:25:58","1","4,0,2,60,117","IC","4.455"
"40.478","116.379","7.884","1.6","0.0","ThreeMIX","2015/6/16 17:34:02","17","34","2","5835791","北京市","北京市县","延庆县","2015/6/16 17:33:39","1","118,1,4","CG","0.000"
"40.459","115.817","-12.944","-4.6","0.0","ThreeMIX","2015/6/16 17:34:03","17","34","3","1855310","北京市","北京市县","延庆县","2015/6/16 17:33:39","1","2,4,1","CG","0.000"
"40.531","115.893","-22.022","-2.8","101.2","FourOPT","2015/6/16 17:42:03","17","42","3","1553300","北京市","北京市县","延庆县","2015/6/16 17:41:43","1","118,2,4,1,0","IC","1.615"
"40.420","116.015","-20.792","-9.9","0.0","ThreeMIX","2015/6/16 17:49:11","17","49","11","5479835","北京市","北京市县","延庆县","2015/6/16 17:48:52","1","118,1,4","CG","0.000"
"40.413","116.016","-14.068","-7.5","0.0","ThreeMIX","2015/6/16 17:49:11","17","49","11","7790244","北京市","北京市县","延庆县","2015/6/16 17:48:52","1","118,0,1","CG","0.000"
"40.413","116.016","-15.831","-9.2","0.0","ThreeMIX","2015/6/16 17:49:12","17","49","12","896494","北京市","北京市县","延庆县","2015/6/16 17:48:52","1","118,0,1","CG","0.000"
"40.394","116.005","-12.674","-5.6","139.9","FourOPT","2015/6/16 17:49:12","17","49","12","3355401","北京市","北京市县","延庆县","2015/6/16 17:48:53","1","118,0,1,4","CG","0.000"
"40.553","115.801","-14.141","-2.7","178.0","FourOPT","2015/6/16 17:49:22","17","49","22","4787814","北京市","北京市县","延庆县","2015/6/16 17:49:02","1","118,4,1,0,60","CG","0.000"
